SERIE,GENERO,RANGO_EDAD,RANGO_SALARIAL,CATEGORIA,SEGMENTO_GRUPO_FAMILIAR,SEGMENTO_POBLACIONAL,PIRAMIDE_NUEVA,EMPRESA_FOCO,CIUDAD_AFILIADO,HOTELES,PISCILAGO,DROGUERIA,AGENCIAS,VIVIENDA
3,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,CHI,PI,XI,EMP_000001,,NO,NO,SI,NO,NO
53,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,PI,UPSILON,EMP_000001,,NO,NO,SI,NO,NO
103,M,20 a 35 años,Entre 3 y 4 SMLV,PI,LAMBDA,ETA,UPSILON,EMP_000001,,NO,NO,SI,NO,NO
153,F,36 a 45 años,Entre 1.5 y 2 SMLV,SIGMA,RHO,PI,OMEGA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
203,M,20 a 35 años,Entre 3 y 4 SMLV,PI,LAMBDA,ETA,XI,EMP_000002,BOGOTA D.C.,NO,NO,SI,NO,NO
253,M,20 a 35 años,Entre 1.5 y 2 SMLV,SIGMA,LAMBDA,ETA,XI,EMP_000002,,NO,NO,SI,NO,NO
303,M,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,ETA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
353,F,36 a 45 años,Entre 6 y 8 SMLV,ZETA,LAMBDA,ETA,XI,EMP_000002,BOGOTA D.C.,NO,NO,SI,NO,NO
403,M,20 a 35 años,Menor al SMLV,SIGMA,LAMBDA,TAU,ETA,EMP_000001,,NO,NO,SI,NO,NO
453,M,36 a 45 años,Entre 1 y 1.5 SMLV,PI,LAMBDA,TAU,LAMBDA,EMP_000001,,NO,NO,SI,NO,NO
503,F,20 a 35 años,Entre 1 y 1.5 SMLV,PI,LAMBDA,TAU,LAMBDA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
553,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,ETA,EMP_000001,,NO,NO,SI,NO,NO
603,F,20 a 35 años,Entre 4 y 6 SMLV,ZETA,LAMBDA,ETA,XI,EMP_000002,,NO,NO,SI,NO,NO
653,M,20 a 35 años,Entre 2 y 2.5 SMLV,PI,LAMBDA,ETA,PSI,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
703,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,XI,EMP_000001,,NO,NO,SI,NO,NO
753,M,20 a 35 años,Entre 2 y 2.5 SMLV,PI,LAMBDA,ETA,XI,EMP_000002,,NO,NO,SI,NO,NO
803,F,20 a 35 años,Entre 3 y 4 SMLV,PI,LAMBDA,ETA,XI,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
853,F,20 a 35 años,Entre 2 y 2.5 SMLV,PI,RHO,PI,UPSILON,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
903,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,ETA,EMP_000001,,NO,NO,SI,NO,NO
953,M,20 a 35 años,Entre 2.5 y 3 SMLV,PI,LAMBDA,ETA,ETA,EMP_000001,PUERTO SALGAR,NO,NO,SI,NO,NO
1003,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,PI,ETA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
1053,M,36 a 45 años,Entre 1.5 y 2 SMLV,SIGMA,CHI,PI,ETA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
1103,M,20 a 35 años,Entre 1.5 y 2 SMLV,SIGMA,LAMBDA,ETA,UPSILON,EMP_000001,,NO,NO,SI,NO,NO
1153,F,20 a 35 años,Entre 1.5 y 2 SMLV,PI,LAMBDA,ETA,UPSILON,EMP_000001,,NO,NO,SI,NO,NO
1203,M,36 a 45 años,Entre 3 y 4 SMLV,PI,RHO,PI,UPSILON,EMP_000001,ZIPAQUIRA,NO,NO,SI,NO,NO
1253,F,36 a 45 años,Entre 1.5 y 2 SMLV,SIGMA,CHI,PI,XI,EMP_000001,,NO,NO,SI,NO,NO
1303,M,36 a 45 años,Entre 4 y 6 SMLV,ZETA,CHI,PI,XI,EMP_000002,BOGOTA D.C.,NO,NO,SI,NO,NO
1353,F,36 a 45 años,Entre 2 y 2.5 SMLV,PI,EPSILON,PI,UPSILON,EMP_000001,,NO,NO,SI,NO,NO
1403,F,20 a 35 años,Entre 2 y 2.5 SMLV,PI,LAMBDA,ETA,ETA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
1453,F,20 a 35 años,Entre 6 y 8 SMLV,ZETA,LAMBDA,ETA,XI,EMP_000002,,NO,NO,SI,NO,NO
1503,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,ETA,EMP_000001,,NO,NO,SI,NO,NO
1553,F,20 a 35 años,Entre 6 y 8 SMLV,ZETA,LAMBDA,ETA,XI,EMP_000002,,NO,NO,SI,NO,NO
1603,F,20 a 35 años,Entre 2.5 y 3 SMLV,PI,LAMBDA,ETA,DELTA,EMP_000001,,NO,NO,SI,NO,NO
1653,F,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,ETA,EMP_000001,,NO,NO,SI,NO,NO
1703,F,20 a 35 años,Menor al SMLV,PI,LAMBDA,ETA,DELTA,EMP_000001,,NO,NO,SI,NO,NO
1753,M,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,EPSILON,PI,ETA,EMP_000001,,NO,NO,SI,NO,NO
1803,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,IOTA,TAU,XI,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
1853,F,20 a 35 años,Menor al SMLV,SIGMA,EPSILON,TAU,ETA,EMP_000001,FUSAGASUGA,NO,NO,SI,NO,NO
1903,F,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,XI,EMP_000002,,NO,NO,SI,NO,NO
1953,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,DELTA,EMP_000001,,NO,NO,SI,NO,NO
2003,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,PI,ETA,EMP_000001,,NO,NO,SI,NO,NO
2053,M,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,ETA,EMP_000001,,NO,NO,SI,NO,NO
2103,M,20 a 35 años,Entre 2 y 2.5 SMLV,PI,LAMBDA,ETA,ETA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
2153,M,36 a 45 años,Entre 10 y 20 SMLV,ZETA,LAMBDA,ETA,XI,EMP_000002,BOGOTA D.C.,NO,NO,SI,NO,NO
2203,M,20 a 35 años,Entre 2.5 y 3 SMLV,ZETA,LAMBDA,ETA,XI,EMP_000001,,NO,NO,SI,NO,NO
2253,M,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,ETA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
2303,F,20 a 35 años,Entre 2 y 2.5 SMLV,PI,LAMBDA,ETA,XI,EMP_000002,,NO,NO,SI,NO,NO
2353,M,20 a 35 años,Entre 1.5 y 2 SMLV,SIGMA,LAMBDA,ETA,UPSILON,EMP_000001,,NO,NO,SI,NO,NO
2403,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,TAU,ETA,EMP_000001,,NO,NO,SI,NO,NO
2453,M,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,UPSILON,EMP_000001,,NO,NO,SI,NO,NO
2503,M,20 a 35 años,Entre 1.5 y 2 SMLV,SIGMA,LAMBDA,ETA,XI,EMP_000002,BOGOTA D.C.,NO,NO,SI,NO,NO
2553,M,36 a 45 años,Entre 2 y 2.5 SMLV,PI,LAMBDA,ETA,UPSILON,EMP_000001,,NO,NO,SI,NO,NO
2603,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,PI,ETA,EMP_000001,,NO,NO,SI,NO,NO
2653,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,LAMBDA,ETA,ETA,EMP_000001,,NO,NO,SI,NO,NO
2703,F,20 a 35 años,Entre 2.5 y 3 SMLV,PI,RHO,PI,UPSILON,EMP_000002,BOGOTA D.C.,NO,NO,SI,NO,NO
2753,M,20 a 35 años,Entre 1.5 y 2 SMLV,SIGMA,LAMBDA,ETA,XI,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
2803,M,36 a 45 años,Entre 2.5 y 3 SMLV,PI,RHO,PI,OMEGA,EMP_000001,MOSQUERA,NO,NO,SI,NO,NO
2853,M,20 a 35 años,Entre 2 y 2.5 SMLV,PI,RHO,PI,XI,EMP_000002,,NO,NO,SI,NO,NO
2903,F,20 a 35 años,Entre 1 y 1.5 SMLV,SIGMA,CHI,TAU,ETA,EMP_000001,BOGOTA D.C.,NO,NO,SI,NO,NO
2953,M,20 a 35 años,Entre 4 y 6 SMLV,ZETA,CHI,PI,XI,EMP_000002,,NO,NO,SI,NO,NO
3003,F,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,RHO,TAU,ETA,EMP_000001,CAJICA,NO,NO,SI,NO,NO
3053,F,20 a 35 años,Entre 3 y 4 SMLV,PI,LAMBDA,ETA,UPSILON,EMP_000001,,NO,NO,SI,NO,NO
3103,M,36 a 45 años,Entre 1 y 1.5 SMLV,SIGMA,IOTA,PI,XI,EMP_000002,,NO,NO,SI,NO,NO
